name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
methanol,HO,HO,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,12.47,10.631093742600001,7.030297943000001,-3.9013501950654734,-0.9792922654780014,33.87491738784276,6.5340099999999985,-0.3878725372305989,0
ethanol,C2H6O,C2H6O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,55.28,46.6668873248,32.359463664,43.63507273359673,-18.891539893344003,24.931773565337227,10.34602,-0.5177745608955808,0
1-propanol,C3H8O,C3H8O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,70.89,59.755146070799995,41.729015694000005,62.270042408706374,-25.732305707724,23.568252480998098,10.92334,-0.5384359821255105,0
2-propanol,C3H8O,C3H8O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,71.07,59.823682782599995,42.050335143,62.496240337329176,-25.834040016677996,22.30273222507427,11.458209999999998,-0.5578232821816052,0
1-butanol,C4H10O,C4H10O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,86.5,72.80396022,51.2006821,81.19804918446903,-32.649248846599995,22.20219984610221,11.500659999999998,-0.5593721885390188,0
2-butanol,C4H10O,C4H10O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,86.68,72.85399738320001,51.56989327600001,81.56114110909694,-32.78671038389601,20.934288842355762,12.03553,-0.5790189904555745,0
2-methyl-1-propanol,C4H10O,C4H10O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,86.8,72.98711151199998,51.55778516,81.66139405744501,-32.82147772936,21.337042914865545,11.86573,-0.5727555730138469,0
2-methyl-2-propanol,C4H10O,C4H10O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,86.72,72.87150455679999,51.635403423999996,81.63293793239657,-32.813680954304,20.73282655470016,12.120429999999999,-0.5821599527233334,0
1-pentanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.11,85.8133297724,60.774462882,100.41907022094502,-39.642369309972004,20.833564820295813,12.077979999999998,-0.5805886985627096,0
2-pentanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.29,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,19.56321474457307,12.61285,-0.6005002476473509,0
3-pentanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.29,85.84486738700001,61.19156578500001,100.9190344320364,-39.81555807561001,19.56321474457307,12.61285,-0.6005002476473509,0
2-methyl-1-butanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,19.96674804853111,12.443049999999998,-0.5941522491349489,0
2-methyl-2-butanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.33,85.859423685,61.264715175,101.01266281753678,-39.84822752055,19.361361107374115,12.69775,-0.6036836886465053,0
3-methyl-1-butanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.41,85.98363057899999,61.164833345,100.97750722342656,-39.83941567537,19.96674804853111,12.443049999999998,-0.5941522491349489,0
3-methyl-2-butanol,C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.59,86.01467322239999,61.58321763200001,101.48045851650113,-40.013560353472,18.694830085863707,12.97792,-0.6142339832869084,0
"2,2-dimethyl-propanol",C5H12O,C5H12O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,102.32,85.84152771199999,61.28333615999999,101.02254200759606,-39.851168775359994,19.260412466961643,12.7402,-0.6052777777777782,0
1-hexanol,C6H14O,C6H14O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,117.72,98.78325472799999,70.45035804,119.9330820624891,-46.71166709783999,19.462295192702197,12.655299999999999,-0.602091179385531,0
2-hexanol,C6H14O,C6H14O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,117.9,98.796292794,70.91535267,120.56989626144794,-46.920583091820006,18.189456409648503,13.190169999999998,-0.6222728632691736,0
3-hexanol,C6H14O,C6H14O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,117.9,98.796292794,70.91535267,120.56989626144794,-46.920583091820006,18.189456409648503,13.190169999999998,-0.6222728632691736,0
2-methyl-1-pentanol,C6H14O,C6H14O,aq,AqOrg,GrpAdd,08/03/2021 17:29:47,J,-196790.0,-256829.99999999997,168.30085326178119,50.726071753642934,118.02,98.94070504919999,70.873995906,120.58659603503355,-46.933530945876,18.5937848363875,13.02037,-0.6158385587737638,0
